time,open,high,low,close,Volume
2026-02-06T03:16:00-08:00,24818.25,24819.25,24813,24817.5,475
2026-02-06T03:17:00-08:00,24818.25,24825.25,24816,24817.25,443
2026-02-06T03:18:00-08:00,24817.25,24821.75,24813.5,24821.75,292
2026-02-06T03:19:00-08:00,24822,24827,24818,24822.5,490
2026-02-06T03:20:00-08:00,24822.25,24825.25,24816.75,24818,367
2026-02-06T03:21:00-08:00,24817,24828.5,24816.75,24820.25,415
2026-02-06T03:22:00-08:00,24820.5,24833,24818.75,24830.75,727
2026-02-06T03:23:00-08:00,24830.75,24833.25,24819,24820.75,683
2026-02-06T03:24:00-08:00,24820.75,24823.75,24814.5,24820.25,498
2026-02-06T03:25:00-08:00,24820,24820.5,24812.5,24814.5,409
2026-02-06T03:26:00-08:00,24814,24814.25,24805.25,24806.5,863
2026-02-06T03:27:00-08:00,24805.75,24821.5,24803.5,24816.75,740
2026-02-06T03:28:00-08:00,24817,24820.75,24812.5,24815.75,327
2026-02-06T03:29:00-08:00,24815.5,24816.75,24811.75,24812.25,339
2026-02-06T03:30:00-08:00,24811.25,24824.5,24809.25,24817.75,589
2026-02-06T03:31:00-08:00,24816.75,24824.25,24813.5,24822.25,646
2026-02-06T03:32:00-08:00,24822.75,24831.75,24812.25,24829.25,1026
2026-02-06T03:33:00-08:00,24829.75,24831.5,24823.5,24831,459
2026-02-06T03:34:00-08:00,24831.25,24839.5,24822.25,24823.25,1309
2026-02-06T03:35:00-08:00,24823.25,24835.75,24819,24833.25,782
2026-02-06T03:36:00-08:00,24832.75,24851.25,24832.5,24850.75,1691
2026-02-06T03:37:00-08:00,24850.5,24861.5,24847.75,24858.25,1227
2026-02-06T03:38:00-08:00,24857.75,24858.5,24845.5,24845.75,841
2026-02-06T03:39:00-08:00,24845.75,24851.5,24840.75,24842.25,842
2026-02-06T03:40:00-08:00,24842.5,24858.25,24840.25,24856.75,886
2026-02-06T03:41:00-08:00,24856,24856,24847.75,24853,696
